time(s),C_Active,L_Active,itp_Po,itp_Temp,itp_HR,itp_RR,itp_HRV
2371.4318,0.0024522633,0.056785155,-27.197453,0.0077887631,147.43812,67.177306,0.0097648197
2371.5318,0.0024180576,0.053170556,-27.185219,0.0078241963,147.49245,67.145414,0.0097283634
2371.6318,0.0023838519,0.049555956,-27.172986,0.0078596295,147.54679,67.113521,0.009691907
2371.7318,0.0023496461,0.045941356,-27.163579,0.0078950627,147.61636,67.081628,0.0096554506
2371.8318,0.002632278,0.042326757,-27.162931,0.0079304959,147.68967,67.049735,0.0096219021
2371.9318,0.00308502,0.038712157,-27.162283,0.0079659291,147.76298,67.017842,0.0095890373
2372.0318,0.0035377619,0.038482043,-27.161636,0.0080013623,147.83629,66.985949,0.0095561726
2372.1318,0.0039905039,0.039927092,-27.160988,0.0080367955,147.86091,66.954056,0.0095233078
2372.2318,0.0044432459,0.041372141,-27.160269,0.0080722287,147.86091,66.922163,0.0095094525
2372.3318,0.0048959879,0.04281719,-27.159329,0.0081076619,147.86091,66.89027,0.0095094525
2372.4318,0.0053487299,0.044262239,-27.15839,0.0081430951,147.86091,66.858377,0.0095094525
2372.5318,0.0058014718,0.045707288,-27.15745,0.0081785283,147.8785,66.830357,0.0095094525
2372.6318,0.0062542138,0.047152337,-27.156511,0.0082139615,147.91179,66.813942,0.009499253
2372.7318,0.0067069558,0.048597386,-27.153767,0.0082493947,147.94509,66.797527,0.0094699406
2372.8318,0.0064062052,0.050042435,-27.145373,0.0082848279,147.97838,66.781112,0.0094406282
2372.9318,0.00607336,0.050736359,-27.136979,0.0083202611,147.99849,66.764697,0.0094113157
2373.0318,0.0057405148,0.048404887,-27.128586,0.0083556943,147.99849,66.748282,0.0093837595
2373.1318,0.0054076696,0.046073414,-27.120192,0.0083911275,147.99849,66.731867,0.0093695543
2373.2318,0.0050748244,0.043741942,-27.113822,0.0084265607,147.99849,66.715452,0.0093553491
2373.3318,0.0047419793,0.04141047,-27.113822,0.0084619939,148.01597,66.699037,0.0093411438
2373.4318,0.0044091341,0.039078997,-27.113822,0.0084813017,148.08131,66.682623,0.0093269386
2373.5318,0.0040762889,0.036747525,-27.113822,0.0084625947,148.14665,66.666208,0.0093271201
2373.6318,0.0037434437,0.034416053,-27.113822,0.0084438878,148.21199,66.649793,0.0093291971
2373.7318,0.0034705104,0.03208458,-27.113822,0.0084251809,148.26791,66.610128,0.0093312742
2373.8318,0.0033613303,0.029753108,-27.113822,0.0084064739,148.26791,66.56028,0.0093333512
2373.9318,0.0032521502,0.031217736,-27.113822,0.008387767,148.26791,66.510431,0.0093312456
2374.0318,0.00314297,0.034096975,-27.113822,0.00836906,148.26791,66.460583,0.0093268917
2374.1318,0.0030337899,0.036976214,-27.113822,0.0083503531,148.27018,66.410735,0.0093225379
2374.2318,0.0029246098,0.039855453,-27.113822,0.0083316462,148.35653,66.360887,0.0093181841
2374.3318,0.0028154297,0.042734692,-27.113822,0.0083129392,148.44288,66.311039,0.0093174606
2374.4318,0.0027062496,0.045613932,-27.113822,0.0082942323,148.52923,66.261191,0.0093218145
2374.5318,0.0025970695,0.048493171,-27.113822,0.0082755253,148.61558,66.211343,0.0093261684
2374.6318,0.0024878894,0.05137241,-27.113822,0.0082568184,148.63241,66.161494,0.0093305222
2374.7318,0.0026130646,0.054251649,-27.113822,0.0082381115,148.64283,66.111646,0.0093340774
2374.8318,0.002910444,0.056604755,-27.113822,0.0082194045,148.65324,66.066321,0.0093340774
2374.9318,0.0032078234,0.057441745,-27.113822,0.0082006976,148.66365,66.066321,0.0093340774
2375.0318,0.0035052028,0.058278736,-27.113822,0.0081819906,148.73201,66.066321,0.0093340774
2375.1318,0.0038025823,0.059115726,-27.113822,0.0081632837,148.81419,66.066321,0.0093340774
2375.2318,0.0040999617,0.059952717,-27.112467,0.0081445768,148.89636,66.066321,0.0093340774
2375.3318,0.0043973411,0.060789708,-27.106754,0.0081258698,148.97854,66.066321,0.0093340774
2375.4318,0.0046947205,0.061626698,-27.101041,0.0081071629,149.01188,66.066321,0.0093340774
2375.5318,0.0049920999,0.062463689,-27.095328,0.008088456,149.02511,66.066321,0.0093340774
2375.6318,0.0052894794,0.063300679,-27.089615,0.008069749,149.03835,66.066321,0.0093252074
2375.7318,0.0049359431,0.06413767,-27.085162,0.0080510421,149.05158,66.066321,0.0093128156
2375.8318,0.0044968765,0.059256378,-27.084778,0.0080323351,149.05831,66.066321,0.0093004238
2375.9318,0.0040578098,0.052830196,-27.084395,0.0080136282,149.06094,66.066321,0.009288032
2376.0318,0.0036187432,0.046404013,-27.084012,0.0079949213,149.06358,66.073797,0.0092895007
2376.1318,0.0031796765,0.039977831,-27.083628,0.0079762143,149.06621,66.089903,0.0093058401
2376.2318,0.0027406099,0.033551649,-27.080927,0.0079575074,149.07163,66.106009,0.0093221795
2376.3318,0.0023015432,0.027125467,-27.070693,0.0079388004,149.07959,66.122115,0.0093385189
2376.4318,0.0018624765,0.020699285,-27.060459,0.0079200935,149.08754,66.138221,0.0093508021
